ID,Oil_Type,Surfactant_Type,Required_HLB,Oil_MW,Surf_HLB,Surf_MW,Smix_Ratio,System_HLB,PDI,Stability_Target,Drug_Name,Drug_Loading_mg_mL,EE_Percent
NE_0036,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.277,0,Curcumin,12.95,86.04
NE_0037,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,1,9.25,0.309,0,Paclitaxel,4.13,87.93
NE_0038,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.272,1,Celecoxib,201.97,94.33
NE_0039,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,2,10.67,0.376,0,Celecoxib,137.68,73.47
NE_0040,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.408,0,Paclitaxel,5.85,74.47
NE_0041,Castor Oil,Tween 20,14.0,933.4,16.7,1227,2,12.8,0.306,0,Paclitaxel,5.46,83.4
NE_0042,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.354,0,Paclitaxel,2.45,76.81
NE_0043,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.287,1,Paclitaxel,3.34,92.3
NE_0044,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,3,13.77,0.328,0,Ibuprofen,30.34,85.88
NE_0045,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.418,0,Curcumin,17.93,84.64
NE_0046,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.232,0,Paclitaxel,3.77,82.91
NE_0047,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,2,11.67,0.102,0,Curcumin,14.29,77.49
NE_0048,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,3,11.38,0.409,0,Celecoxib,135.19,83.27
NE_0049,Castor Oil,Tween 20,14.0,933.4,16.7,1227,2,12.8,0.207,1,Paclitaxel,5.88,98.34
NE_0050,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.441,0,Paclitaxel,4.51,75.72
NE_0051,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.252,1,Paclitaxel,4.3,99.15
NE_0052,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,1,9.25,0.272,0,Paclitaxel,3.1,86.23
NE_0053,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.156,1,Paclitaxel,4.92,98.38
NE_0054,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.273,1,Celecoxib,138.81,94.41
NE_0055,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,3,11.38,0.429,0,Celecoxib,147.19,70.78
NE_0056,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,2,11.67,0.28,0,Curcumin,10.96,88.04
NE_0057,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.307,0,Ibuprofen,30.83,76.86
NE_0058,Capryol 90,Tween 80,11.5,172.2,15.0,1310,3,12.5,0.355,0,Celecoxib,148.63,86.09
NE_0059,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.194,1,Celecoxib,120.35,95.21
NE_0060,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.228,0,Paclitaxel,3.94,79.24
NE_0061,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.369,0,Celecoxib,160.23,84.93
NE_0062,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.284,0,Curcumin,14.94,83.03
NE_0063,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,1,9.25,0.349,0,Paclitaxel,6.37,76.61
NE_0064,Capryol 90,Tween 20,11.5,172.2,16.7,1227,1,10.85,0.197,1,Celecoxib,194.24,99.39
NE_0065,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.119,0,Ibuprofen,32.6,72.5
NE_0066,Castor Oil,Tween 80,14.0,933.4,15.0,1310,3,12.5,0.323,0,Paclitaxel,2.01,76.62
NE_0067,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.427,0,Paclitaxel,3.06,84.91
NE_0068,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.23,0,Curcumin,16.9,71.37
NE_0069,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.328,0,Curcumin,13.04,70.52
NE_0070,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,2,10.67,0.418,0,Paclitaxel,3.76,74.45
NE_0071,Capryol 90,Tween 20,11.5,172.2,16.7,1227,1,10.85,0.153,1,Celecoxib,199.42,92.21
NE_0072,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.241,0,Paclitaxel,6.29,70.56
NE_0073,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,2,10.67,0.342,0,Ibuprofen,41.53,84.9
NE_0074,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,2,10.67,0.183,0,Ibuprofen,50.23,71.72
NE_0075,Capryol 90,Tween 20,11.5,172.2,16.7,1227,2,12.8,0.124,1,Celecoxib,188.11,92.58
NE_0076,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.287,1,Paclitaxel,2.53,93.9
NE_0077,Castor Oil,Tween 80,14.0,933.4,15.0,1310,1,10.0,0.248,0,Paclitaxel,6.28,79.45
NE_0078,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.307,0,Ibuprofen,36.51,85.16
NE_0079,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.413,0,Paclitaxel,4.4,72.91
NE_0080,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.296,0,Paclitaxel,5.67,77.57
NE_0081,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,2,11.67,0.113,0,Curcumin,8.64,77.45
NE_0082,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.394,0,Paclitaxel,3.69,79.73
NE_0083,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.439,0,Paclitaxel,2.41,88.27
NE_0084,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,2,10.67,0.214,0,Curcumin,9.3,88.14
NE_0085,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.19,0,Curcumin,14.71,72.69
NE_0086,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.118,1,Paclitaxel,3.98,92.15
NE_0087,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,3,11.38,0.343,0,Celecoxib,202.04,72.2
NE_0088,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,1,9.25,0.382,0,Celecoxib,130.99,74.24
NE_0089,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.328,0,Ibuprofen,42.52,81.73
NE_0090,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.413,0,Ibuprofen,52.36,86.57
NE_0091,Miglyol 812,Labrasol,15.0,520.0,12.0,450,2,9.67,0.32,0,Ibuprofen,37.64,85.24
NE_0092,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.29,0,Curcumin,12.68,73.86
NE_0093,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.373,0,Paclitaxel,6.25,80.36
NE_0094,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.118,0,Paclitaxel,4.29,86.06
NE_0095,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,3,13.77,0.329,0,Ibuprofen,36.37,85.24
NE_0096,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.414,0,Paclitaxel,4.16,75.66
NE_0097,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.176,1,Paclitaxel,4.77,93.43
NE_0098,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,2,10.67,0.426,0,Curcumin,15.53,86.63
NE_0099,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.183,0,Curcumin,13.61,81.35
NE_0100,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.31,0,Celecoxib,198.27,81.43
NE_0101,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.376,0,Ibuprofen,47.62,79.32
NE_0102,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.434,0,Curcumin,14.11,78.02
NE_0103,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.133,1,Celecoxib,180.58,92.56
NE_0104,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.335,0,Curcumin,13.28,83.1
NE_0105,Miglyol 812,Labrasol,15.0,520.0,12.0,450,2,9.67,0.335,0,Ibuprofen,38.7,72.49
NE_0106,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.29,0,Curcumin,11.52,76.92
NE_0107,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,2,11.67,0.303,0,Ibuprofen,41.8,72.02
NE_0108,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.208,0,Curcumin,16.92,76.79
NE_0109,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.286,0,Paclitaxel,2.49,70.52
NE_0110,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,2,11.67,0.132,0,Ibuprofen,42.01,80.78
NE_0111,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.164,0,Curcumin,15.08,74.33
NE_0112,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.13,0,Curcumin,9.3,77.22
NE_0113,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.404,0,Celecoxib,133.77,70.66
NE_0114,Castor Oil,Tween 20,14.0,933.4,16.7,1227,2,12.8,0.245,1,Paclitaxel,3.18,97.2
NE_0115,Castor Oil,Tween 80,14.0,933.4,15.0,1310,3,12.5,0.159,1,Paclitaxel,5.31,99.14
NE_0116,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,2,12.8,0.42,0,Ibuprofen,35.81,86.59
NE_0117,Castor Oil,Tween 80,14.0,933.4,15.0,1310,3,12.5,0.262,1,Paclitaxel,6.1,98.71
NE_0118,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.441,0,Celecoxib,131.11,75.79
NE_0119,Miglyol 812,Labrasol,15.0,520.0,12.0,450,2,9.67,0.24,0,Ibuprofen,30.72,79.97
NE_0120,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.163,0,Paclitaxel,4.83,77.66
NE_0121,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.441,0,Celecoxib,136.08,82.4
NE_0122,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.106,0,Curcumin,10.53,83.63
NE_0123,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.424,0,Paclitaxel,4.85,71.8
NE_0124,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.26,0,Paclitaxel,5.52,76.69
NE_0125,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.295,0,Ibuprofen,54.24,85.83
NE_0126,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.21,0,Paclitaxel,3.59,83.67
NE_0127,Miglyol 812,Labrasol,15.0,520.0,12.0,450,3,10.25,0.309,0,Ibuprofen,47.14,74.44
NE_0128,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.215,0,Paclitaxel,2.75,71.37
NE_0129,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.255,0,Ibuprofen,41.85,81.59
NE_0130,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,2,10.67,0.216,0,Paclitaxel,2.03,74.13
NE_0131,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.38,0,Curcumin,15.07,84.57
NE_0132,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.135,1,Paclitaxel,4.71,99.31
NE_0133,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,2,11.67,0.266,0,Curcumin,8.24,87.09
NE_0134,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.328,0,Celecoxib,135.11,88.49
NE_0135,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.133,0,Ibuprofen,40.15,72.64
NE_0136,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.363,0,Celecoxib,181.62,75.48
NE_0137,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.28,0,Paclitaxel,4.69,86.15
NE_0138,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.109,0,Curcumin,11.33,73.86
NE_0139,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,2,10.67,0.411,0,Ibuprofen,37.01,84.57
NE_0140,Capryol 90,Tween 20,11.5,172.2,16.7,1227,1,10.85,0.277,1,Celecoxib,174.29,95.76
NE_0141,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,2,10.67,0.416,0,Ibuprofen,47.25,78.51
NE_0142,Capryol 90,Tween 80,11.5,172.2,15.0,1310,3,12.5,0.249,1,Celecoxib,141.35,92.81
NE_0143,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.152,0,Paclitaxel,2.75,88.13
NE_0144,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.341,0,Paclitaxel,5.0,79.98
NE_0145,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.422,0,Ibuprofen,35.13,84.96
NE_0146,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.119,0,Paclitaxel,5.02,76.26
NE_0147,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,1,9.25,0.33,0,Celecoxib,155.87,70.45
NE_0148,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.139,0,Curcumin,17.93,80.57
NE_0149,Capryol 90,Tween 20,11.5,172.2,16.7,1227,2,12.8,0.365,0,Celecoxib,164.36,80.95
NE_0150,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.417,0,Paclitaxel,2.6,84.3
NE_0151,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.257,1,Paclitaxel,6.47,98.8
NE_0152,Castor Oil,Tween 20,14.0,933.4,16.7,1227,2,12.8,0.438,0,Paclitaxel,2.06,70.29
NE_0153,Castor Oil,Tween 20,14.0,933.4,16.7,1227,2,12.8,0.258,1,Paclitaxel,6.26,95.04
NE_0154,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.313,0,Celecoxib,136.75,74.42
NE_0155,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,2,10.67,0.446,0,Paclitaxel,2.66,87.31
NE_0156,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.232,1,Paclitaxel,3.52,96.59
NE_0157,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.43,0,Paclitaxel,6.16,82.29
NE_0158,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,2,10.67,0.31,0,Curcumin,8.61,80.77
NE_0159,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.37,0,Curcumin,10.75,80.69
NE_0160,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,3,13.77,0.22,1,Ibuprofen,43.11,96.86
NE_0161,Miglyol 812,Labrasol,15.0,520.0,12.0,450,3,10.25,0.39,0,Ibuprofen,49.48,73.42
NE_0162,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.208,0,Paclitaxel,6.38,72.01
NE_0163,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.188,0,Curcumin,11.14,84.6
NE_0164,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,2,10.67,0.123,1,Celecoxib,161.9,99.32
NE_0165,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,3,12.5,0.443,0,Curcumin,11.28,83.72
NE_0166,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.447,0,Celecoxib,137.08,71.04
NE_0167,Miglyol 812,Labrasol,15.0,520.0,12.0,450,2,9.67,0.25,0,Ibuprofen,32.0,79.55
NE_0168,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.321,0,Paclitaxel,3.7,82.68
NE_0169,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.24,0,Ibuprofen,53.16,83.69
NE_0170,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.369,0,Curcumin,14.93,82.39
NE_0171,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.117,0,Ibuprofen,45.44,74.89
NE_0172,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.173,0,Curcumin,11.23,88.15
NE_0173,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.168,0,Ibuprofen,47.4,72.61
NE_0174,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,3,11.38,0.371,0,Curcumin,9.86,77.84
NE_0175,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.204,0,Ibuprofen,44.27,82.35
NE_0176,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.126,0,Ibuprofen,51.61,78.47
NE_0177,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.265,0,Ibuprofen,36.97,76.14
NE_0178,Capryol 90,Tween 20,11.5,172.2,16.7,1227,1,10.85,0.398,0,Celecoxib,172.99,79.34
NE_0179,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.423,0,Celecoxib,169.84,72.0
NE_0180,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.251,0,Ibuprofen,31.15,80.19
NE_0181,Capryol 90,Tween 20,11.5,172.2,16.7,1227,1,10.85,0.283,1,Celecoxib,208.03,95.92
NE_0182,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.109,0,Ibuprofen,47.84,85.76
NE_0183,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.123,0,Ibuprofen,46.71,82.03
NE_0184,Oleic Acid,Labrasol,17.0,282.5,12.0,450,2,9.67,0.441,0,Curcumin,9.3,70.66
NE_0185,Capryol 90,Tween 20,11.5,172.2,16.7,1227,3,13.77,0.126,1,Celecoxib,179.6,96.41
NE_0186,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.212,0,Ibuprofen,54.91,84.34
NE_0187,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.105,0,Ibuprofen,31.56,81.72
NE_0188,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.215,0,Ibuprofen,31.69,85.02
NE_0189,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.111,0,Ibuprofen,35.36,81.38
NE_0190,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.343,0,Celecoxib,142.83,73.25
NE_0191,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.306,0,Ibuprofen,50.15,84.27
NE_0192,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.123,0,Curcumin,12.72,84.73
NE_0193,Castor Oil,Tween 20,14.0,933.4,16.7,1227,2,12.8,0.405,0,Paclitaxel,3.31,74.37
NE_0194,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.369,0,Ibuprofen,30.59,76.18
NE_0195,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.268,1,Paclitaxel,5.67,96.02
NE_0196,Capryol 90,Tween 20,11.5,172.2,16.7,1227,3,13.77,0.181,1,Celecoxib,209.31,96.49
NE_0197,Castor Oil,Tween 80,14.0,933.4,15.0,1310,3,12.5,0.221,1,Paclitaxel,4.4,95.15
NE_0198,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.205,0,Ibuprofen,42.2,74.04
NE_0199,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.217,1,Celecoxib,176.03,98.53
NE_0200,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.223,0,Ibuprofen,44.17,86.18
NE_0201,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.377,0,Celecoxib,127.95,73.72
NE_0202,Castor Oil,Tween 80,14.0,933.4,15.0,1310,1,10.0,0.167,0,Paclitaxel,5.54,84.65
NE_0203,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.441,0,Curcumin,15.17,77.36
NE_0204,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,2,10.67,0.335,0,Curcumin,9.66,77.81
NE_0205,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,1,9.25,0.4,0,Celecoxib,145.67,78.03
NE_0206,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.433,0,Curcumin,11.83,74.69
NE_0207,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.139,1,Celecoxib,205.22,98.97
NE_0208,Capryol 90,Tween 20,11.5,172.2,16.7,1227,2,12.8,0.448,0,Celecoxib,196.41,84.47
NE_0209,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.379,0,Paclitaxel,6.34,87.99
NE_0210,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.438,0,Curcumin,15.63,77.86
NE_0211,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,1,9.25,0.308,0,Paclitaxel,6.37,78.11
NE_0212,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.42,0,Paclitaxel,3.62,87.21
NE_0213,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,2,12.8,0.317,0,Ibuprofen,36.43,75.91
NE_0214,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.413,0,Ibuprofen,35.89,71.24
NE_0215,Capryol 90,Tween 20,11.5,172.2,16.7,1227,2,12.8,0.188,1,Celecoxib,186.36,95.75
NE_0216,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.261,0,Ibuprofen,34.36,83.73
NE_0217,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,3,12.5,0.227,0,Curcumin,15.46,74.55
NE_0218,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.445,0,Curcumin,9.04,81.36
NE_0219,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.422,0,Paclitaxel,2.17,72.63
NE_0220,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.394,0,Ibuprofen,42.89,76.83
NE_0221,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.249,1,Celecoxib,148.78,95.27
NE_0222,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,3,13.77,0.333,0,Curcumin,12.57,81.99
